,PMID,Other_term
2482,33573393,arrhythmias---atrial fibrillation---comorbidities---digital medicine---heart rhythm---mhealth cois
2483,33565642,"atrial fibrillation, digital health, intervention---patient education---telehealth cois honoraria/consulting fees: biosense‐webster, abbott, biotronik, zoll medical. jennifer walker, msn, anp has received salary support from the bristol‐myers squib foundation. sriram machineni, md: research funding: novo nordisk, boeringher ingelheim, consulting fees: novo nordisk, rhythm pharmaceuticals."
2484,34586072,ehealth---health care utilization---heart failure---remote monitoring---telemonitoring cois
2485,34196791,children chronic diseases---health outcomes---medical complexity---special needs---telehealth---telemedicine cois
2487,34930538,"covid-19 pandemic---cystic fibrosis---home monitoring---paediatric---telehealth---telemedicine cois interests/personal relationships which may be considered as potential competing interests: prof. jane davies has performed clinical trial leadership roles, educational and/ or advisory activities for the following: abbvie, algipharma as, bayer ag, boehringer ingelheim pharma gmbh & co. kg, eloxx, enterprise, galapagos nv, imevax gmbh, ionis, nivalis therapeutics, inc., novartis, proqr therapeutics iii b.v., proteostasis therapeutics, inc., pulmocide raptor pharmaceuticals, inc, vertex pharmaceuticals."
2489,33441002,atrial fibrillation---atrial flutter---cardiovascular disease---coronavirus---quarantine
2490,33946166,cycling---health disorders---mhealth---tele-monitoring cois
2491,34565069,covid-19---dilated cardiomyopathy---heart failure---heart failure outpatient programs---hypertrophic cardiomyopathy---ischemic cardiomyopathy---telemedicine---valvular heart disease cois
2493,34639623,"apps---coronary heart disease (chd)---ehealth---mobile health---systematic evaluation cois design of the study; in the collection, analyses, or interpretation of data; in the writing of the manuscript, or in the decision to publish the results."
2494,35545754,"access to care---headache---mixed methods---telehealth cois conflicts of interest. e.k.s. has consulted for glaxosmithkline, eli lilly, and click therapeutics. j.j.s. has received grant support from the department of veterans affairs, the american academy of neurology, and the american heart association/american stroke association."
2496,33820445,ambulatory care---cardiovascular diseases---hemodynamics---hospitals---telemedicine
2497,33399539,als cpr algorithm---app evaluation---cardiopulmonary resuscitation---healthcare---mobile phone---public health---smartphone apps---the kano model cois
2498,32887994,atrial fibrillation---integrated care---mobile app---teleconsultation---telehealth---mhealth
2499,33792556,artificial intelligence---conversational agent---heart failure---mobile phone---social determinants of health---telehealth---voice interface---wireless technology cois
2501,33453199,marfan syndrome---aortic root---echocardiography---parental---tele-clinic
2502,34327748,cardiac surgery---covid telemedicine cardiac surgery---telemedicine
2504,34501793,covid-19---cardiac invasive procedure---clinical activities---lockdown---outbreak---syncope---syncope unit cois
2507,33784958,wearable computing---dental health---heart rate monitoring---mobile health application---stress management
2508,34882492,application-based technology---patient-reported outcomes---trajectory of recovery
2509,34929888,atrial fibrillation---makassar---prevalence---telemedicine
2510,34068131,"covid-19---mhealth---pulse oximetry---telemedicine---temperature cois design of the study, in the collection, analyses, or interpretation of data, in the writing of the manuscript, or in the decision to publish the results."
2511,34088789,"covid-19---artificial---defibrillators---heart failure---implantable---pacemaker cois medtronic, is currently funded by the british heart foundation, and receives support as a peter mount awardee at manchester university nhs foundation trust. the sponsor/ funder and industry did not have any role in the data analysis or manuscript content. fa has previously received a research grant funded by medtronic. fa has received consultancy fees from astrazeneca, medtronic, pfizer, pharmacosmos, servier and vifor. md has no relevant disclosures."
2516,36056720,cardiovascular disease---mhealth---mobile health---prevention
2517,33838316,header–lead pin mismatch---hybrid system---impedance---implantable cardioverter-defibrillator---remote monitoring
